datahora;Cap-SP;Cases-SP;ICU-SP;Corrected-SP;Accum Corrected-SP;Ratio-SP
2020-05-19;8376;2610.8571428571427;4180.57;19842.514285714282;19842.514285714282;0.21068751367914207
2020-05-20;8376;2680.285714285714;4213.0;20370.171428571426;40212.685714285704;0.10436470296509136
2020-05-21;8376;2779.0;4245.713333333333;21120.399999999998;61333.085714285706;0.06869203457446671
2020-05-22;8376;2641.8571428571427;4281.7125;20078.114285714284;81411.19999999998;0.05196151092642455
2020-05-23;8376;2767.8571428571427;4314.856;21035.714285714283;102446.91428571427;0.04145727957039029
2020-05-24;8376;2830.8571428571427;4350.998333333334;21514.514285714282;123961.42857142855;0.0344016286107942
2020-05-25;8376;2937.0;4385.385714285714;22321.2;146282.62857142856;0.02927037902455011
2020-05-26;8376;2860.285714285714;4451.957142857143;21738.171428571426;148178.2857142857;0.02915756214888775
2020-05-27;8376;2803.4285714285716;4517.937142857143;21306.057142857142;149114.17142857143;0.029266702031067533
2020-05-28;8376;3160.8571428571427;4583.244285714286;24022.514285714282;152016.2857142857;0.02902517128714369
2020-05-29;8376;3526.4285714285716;4641.265714285714;26800.85714285714;158739.02857142856;0.028119508581860447
2020-05-30;8376;3797.714285714286;4696.327142857143;28862.62857142857;166565.94285714283;0.027125349133445286
2020-05-31;8376;3933.8571428571427;4740.041428571429;29897.31428571428;174948.74285714285;0.026143296968474176
2020-06-01;8376;3953.0;4780.45;30042.8;182670.34285714282;0.02534716156688103
2020-06-02;8376;4611.142857142857;4817.225714285714;35044.68571428571;195976.8571428571;0.023892392125434227
2020-06-03;8376;4857.142857142857;4848.8785714285705;36914.28571428571;211585.08571428567;0.022353339552924786
2020-06-04;8376;4762.142857142857;4874.674285714284;36192.28571428571;223754.8571428571;0.02132363151072402
2020-06-05;8376;4715.571428571428;4900.96;35838.34285714285;232792.34285714285;0.020655169526229596
2020-06-06;8376;4772.428571428572;4927.184285714286;36270.45714285714;240200.1714285714;0.02015545979491051
2020-06-07;8376;4767.857142857143;4958.102857142857;36235.71428571428;246538.57142857142;0.019763627664338652
2020-06-08;8376;4756.714285714285;4988.7357142857145;36151.028571428564;252646.8;0.019403576980405297
2020-06-09;8376;4549.0;5021.287142857143;34572.4;252174.51428571428;0.019555518047786668
2020-06-10;8376;4690.428571428572;5057.45;35647.25714285714;250907.4857142857;0.019773021795463305
2020-06-11;8376;4760.0;5101.021428571429;36176.0;250891.19999999995;0.019903187077888424
2020-06-12;8376;4762.142857142857;5151.49;36192.28571428571;251245.14285714284;0.020017598878142594
2020-06-13;8376;4618.0;5207.49;35096.799999999996;250071.4857142857;0.020271676112074668
2020-06-14;8376;5018.428571428572;5267.694285714286;38140.05714285714;251975.82857142857;0.020293992242015828
2020-06-15;8376;5266.714285714285;5331.428571428572;40027.028571428564;255851.82857142854;0.020177896173260233
2020-06-16;8376;5735.285714285715;5396.7757142857145;43588.171428571426;264867.6;0.01969358599218197
2020-06-17;8376;5028.714285714285;5461.2242857142855;38218.22857142857;267438.5714285714;0.019719948658818466
2020-06-18;8376;4301.142857142857;5515.202857142857;32688.68571428571;263951.2571428571;0.02020465343183802
2020-06-19;8376;6251.142857142857;5561.0599999999995;47508.68571428571;275267.6571428571;0.019586586122870602
2020-06-20;8376;6131.142857142857;5596.814285714286;46596.68571428571;286767.5428571428;0.018995076549806793
2020-06-21;8376;5854.714285714285;5625.181428571428;44495.82857142857;293123.31428571424;0.01875743331371075
2020-06-22;8376;5787.571428571428;5648.998571428571;43985.54285714286;297081.82857142854;0.018660206145635846
2020-06-23;8376;5598.571428571428;5667.242857142856;42549.142857142855;296042.8;0.018856213785745212
2020-06-24;8376;6757.857142857143;5680.814285714286;51359.71428571428;309184.2857142857;0.01815621487218177
2020-06-25;8376;7994.142857142857;5697.590000000001;60755.48571428571;337251.0857142857;0.01672247139162929
2020-06-26;8376;6692.857142857143;5710.998571428572;50865.71428571428;340608.1142857143;0.01662054188122689
2020-06-27;8376;7112.571428571428;5726.244285714287;54055.54285714286;348066.97142857144;0.016317496041812644
2020-06-28;8376;7507.428571428572;5740.694285714286;57056.45714285714;360627.6;0.015794917708201267
2020-06-29;8376;7596.0;5748.265714285714;57729.6;374371.6571428571;0.015252928945781003
2020-06-30;8376;7415.0;5754.5314285714285;56354.0;388176.51428571425;0.014742607733914783
2020-07-01;8376;7301.857142857143;5759.47;55494.114285714284;392310.9142857143;0.014615883482836097
2020-07-02;8376;7656.0;5762.307142857142;58185.6;389741.02857142856;0.014735979784881123
2020-07-03;8376;7429.857142857143;5764.531428571428;56466.91428571429;395342.22857142857;0.014546544876241865
2020-07-04;8376;6707.0;5762.428571428571;50973.2;392259.8857142857;0.014674028272301602
2020-07-05;8376;6920.285714285715;5760.897142857143;52594.171428571426;387797.6;0.014850320825890112
2020-07-06;8376;6846.428571428572;5767.407142857142;52032.857142857145;382100.85714285716;0.015078880765640356
2020-07-07;8376;7332.571428571428;5774.325714285714;55727.54285714286;381474.4;0.015111055998536634
2020-07-08;8376;7347.142857142857;5784.325714285714;55838.28571428571;381818.5714285714;0.015106734633555522
2020-07-09;8376;6790.857142857143;5797.877142857143;51610.514285714286;375243.4857142857;0.015384979313676427
2020-07-10;8376;6941.857142857143;5819.061428571428;52758.114285714284;371534.6857142857;0.015559525093039903
2020-07-11;8376;7765.714285714285;5850.122857142857;59019.428571428565;379580.9142857143;0.015262703688119026
2020-07-12;8376;7402.571428571428;5883.082857142857;56259.54285714286;383246.2857142857;0.01516227642394181
2020-07-13;8376;7362.428571428572;5914.511428571429;55954.45714285714;387167.8857142857;0.01506297716208795
2020-07-14;8376;7699.857142857143;5951.632857142858;58518.91428571429;389959.2571428571;0.015020109165145857
2020-07-15;8376;7401.571428571428;5992.122857142857;56251.94285714285;390372.9142857143;0.01508023662230497
2020-07-16;8376;7476.142857142857;6031.448571428571;56818.68571428571;395581.08571428567;0.014966042308661174
2020-07-17;8376;6900.714285714285;6063.427142857144;52445.428571428565;395268.39999999997;0.015066199709010953
2020-07-18;8376;6448.142857142857;6087.325714285716;49005.88571428571;385254.8571428571;0.015545757994919666
2020-07-19;8376;6150.285714285715;6104.1614285714295;46742.171428571426;375737.48571428575;0.016023584703362806
2020-07-20;8376;5975.285714285715;6112.651428571429;45412.171428571426;365195.19999999995;0.0165636545684531
2020-07-21;8376;5151.714285714285;6111.530000000001;39153.028571428564;345829.31428571424;0.01755724382236834
2020-07-22;8376;6610.0;6100.815714285715;50236.0;339813.3714285714;0.017913765774625202
2020-07-23;8376;7137.0;6085.204285714287;54241.2;337235.8857142857;0.018073451814603413
2020-07-24;8376;7971.857142857143;6070.102857142857;60586.114285714284;345376.5714285714;0.01765021344345114
2020-07-25;8376;9636.285714285714;6054.021428571427;73235.77142857142;369606.45714285714;0.016480265242295993
2020-07-26;8376;9847.57142857143;6042.634285714285;74841.54285714286;397705.82857142854;0.015293773488286819
2020-07-27;8376;10174.285714285714;6038.511428571428;77324.57142857142;429618.22857142857;0.014133086132684713
